amfi_code,alpha,beta
100016,-0.06155387924162669,0.7657456905712087
100025,0.022781870395657974,0.06911277169305932
100033,0.07852033545962556,1.020540137841682
101206,0.06686801524895852,0.7616694508222647
101207,-0.24068865839714723,2.7894416675044273
101208,0.041881796107305684,0.014422071061830927
102885,0.04932755357784483,0.6344794370456159
102886,-0.07938185926948611,0.8721731476786175
102887,0.01684455379091126,0.8744970797479025
118632,0.03918779750271585,1.026433328094268
118633,0.030349467554510068,0.7097251401960142
118634,-0.12238555314848654,2.1968924374464724
118635,0.03554312474854172,0.6389469105389719
118636,0.023985351014153913,0.1084125059527548
119092,-0.07892913981048041,1.129919994349415
119093,-0.05360493996374625,0.9941619594798425
119094,0.011574776244790455,1.5251641256053645
119095,-0.20972816635815114,2.1335218658619253
119120,0.0291746935731154,0.09563065029594198
119551,0.09711030002324707,0.598735646840446
119552,0.04252768145006508,0.8703132349639574
119598,-0.06047541823774785,2.4350714222361547
119599,-0.18776876701506554,1.9704234112374708
120503,0.019714617376542915,0.9320609411176355
120504,0.07959865395817385,0.63587734637603
120505,0.07043948208039653,1.2207859474003129
120506,0.01267418519927688,0.9187318858237158
120507,0.046910589511202395,0.011563831609971417
120841,0.014408213469262032,0.7004960206181706
120842,-0.06345145691191048,1.0523099715391384
120843,0.07043785364622308,1.0947164385307377
120844,0.045456773103303594,0.006088738493680375
125497,0.023137520110048923,0.9208570310523467
125498,-0.06759319155011544,1.3501391468543673
148567,0.12487160161745342,0.6031744625397386
148568,0.05424119301511529,0.8304105546811332
148569,0.06620251376133722,1.19899532926881
149322,-0.013219319544946657,0.9438508622798499
149323,0.060198297232074274,1.1426776291675695
149324,-0.03518846132294482,2.2018297755811904
